text,is_desc
"Revision of Ancistrocladus naphtylisoquinoline alkaloids are otherwise found only in Dioncophyllaceae (Bringmann et al., 1990; Bringmann & Pokorny, 1995; additional references cited in Lebrun & Stork, 1991). Some of these alkaloids have shown significant activity against malaria (Frangois et al., 1994) and one group of these, the michellamines produced by A. korupensis, were found to have significant inhibitory activity against the human immunodeficiency virus (HIV) (Manfredi et al., 1991; Boyd et al., 1994; Foster & Sork, 1997). However, in preclinical studies in several animal models, michellamine B was found to possess significant neurotoxicity, which precluded it being advanced into clinical trials (pers. comm., Gordon Cragg, Natural Products Branch, Developmental Therapeutics Program, National Cancer Institute, U.S.A.).",0
"Wallich (1829) named Ancistrocladus in his catalogue of Indian and Southeast Asian plants. Here he listed four species from India, Sri Lanka, Burma, Malaysia, and the Andaman Islands. Ancistrocladus had been previously named by two other authors, however; Loureiro (1790) published Bembixv Lour., based on B. tectoria Lour. from what is today Vietnam, and Vahl (1810) published Wormia Vahl.
based on Wormia hamata Vahl from Sri Lanka.
Vahl’s name, however, is a later homonym of Wormia Rottb., published (Rottbgl, 1783) for a genus of plants now treated in the Dilleniaceae and thus is illegitimate and cannot be used. Bembix was validly published, but Wallich’s name was conserved over it and the Sri Lankan species was chosen as its conserved type, as listed in ICBN Appendix HLA.E3 (Greuter et al., 2000: 205). Subsequently, Endlicher (1840) published Bigamea K. Koenig ex Endl. for the Sri Lankan species. Neither Koenig nor Endlicher named any species of Bigamea, although they clearly considered there to be only one species of this genus in Sri Lanka.",0
"Although Planchon (1849) first: recognized the Ancistrocladaceae as a separate family, then comprising one genus with seven species from India, Sri Lanka, and southeastern Asia, Walpers (1851) first validly published this family name. This family was not recognized for several subsequent decades by most authors, who classified Ancistrocladus in a variety of other families but most often in the Dipterocarpaceae, largely because of its similar fruits.
However, the family Ancistrocladaceae was generally recognized by the end of the 19th and beginning of the 20th century (Gilg, 1895, 1925; Tieghem, 1903).",0
"Oliver (1868) first reported Ancistrocladus from Africa when he described A. guineensis Oliv. as a species of Dipterocarpaceae from Nigeria. Subsequently, Ancistrocladus was reported from central Africa (Léonard, 1949, 1982) and later documented in west Africa (Airy Shaw, 1949, 1950) and in east Africa (Freson, 1967; Léonard, 1984, 1986: Cheek et al., 2000).",0
"Tieghem (1903) reviewed Ancistrocladaceae with particular emphasis on its anatomy and recognized three genera in the family: Bigamea, distinguished by having only five stamens and comprising the Ancistrocladus plants found in Sri Lanka, which he treated as two species; Ancistrella Tiegh., distinguished primarily by anatomical details and comprising one African species, Ancistrella barteri Tiegh.: and Ancistrocladus, comprising, the remaining species including the one other African species known to Tieghem, Ancistrocladus guineensis.
Tieghem knew Ancistrella barteri only from one sterile collection, but considered it distinct from Ancistrocladus due to its larger and apically more acute leaves, its different arrangement of fiber bundles in the leaf midrib, and its distinctive stem epidermal structure, composed of parallel-elongate cells that lack chlorophyll and have thick but nonlignified walls.",0
"Gilg (1895, 1925), however, treated all these species in one genus, though in his second review of the family (Gilg, 1925) he separated the Sri Lankan plants in Ancistrocladus sect. Bigamea (K.
Koenig ex Endl.) Gilg, which comprised only the section’s type species, A. hamatus (Vahl) Gilg. All the remaining species he placed in “Sect. Euancistrocladus,” which is correctly called Ancistrocladus sect. Ancistrocladus under our current rules of nomenclature (Greuter et al., 2000). Subsequent authors have agreed in placing all of the species of Ancistrocladaceae in only one genus, Ancistrocladus (Cronquist, 1981; Porembski, 2002; Stevens, 2004).",0
"Ancistrocladus species are usually found as lianas climbing high into the forest canopy by means of their distinctive lateral branches that bear several woody hooks. However, they begin life as erect, self-supporting saplings in their juvenile stage, and the climbing growth develops later from extra-axillary stems (REG, pers. obs., A. grandiflorus, A.
korupensis, A. letestui, Africa), which may at times appear to be terminal (CMT, pers. obs., A. robertMO greenhouse). These soniorum J. Léonard,",0
"Juvenile plants very slender saplings to 2 m tall, lacking hooked branchlets. Juvenile leaves with persistence unknown, oblanceolate, 36.7—59.6 6.4— 12.0 em, L/W 4.45.0, at apex obtuse to acute, at base acute then attenuate then abruptly very shortly rounded or long-attenuate (i.e., pseudopetiolate), in life not seen, drying chartaceous, dull or shiny, discolorous, brown above, yellowish brown below: pits similar to those of adult leaves; midrib plane adaxially, thinly prominulous to prominent abaxially, with terminal gland not found; secondary veins 12 to 17 pairs; secondary and tertiary veins prominulous adaxially and abaxially; margins plane to thinly revolute. Adult stems climbing to 15 m high. to 8 mm diam. [probably becoming larger but no data]. with bark gray-brown, smooth or with shallow longitudinal fissures, bearing scattered leaves and lateral branchlets to 50 cm long, these branchlets bearing a terminal group of leaves, without hooks (e.g., Hall & Aké Assi GC-45772, GC) or with | to several hooks (e.g.. Morton & Gledhill SL 1027, WAG); hooks recurved to spiraling, 6-25 mm diam.
Adult leaves drying chartaceous to stiffly subcoriaceous, rather shiny on both surfaces, in life discolorous, dark green above, light green below, drying at least a little discolorous, dark brown above, yellow-brown below; pits dimorphic, small pits frequent to dense on both surfaces (i.e., 1 to 4 per areole formed by tertiary veins), large pits 0.1—0.3 mm diam., circular, widely scattered on both surfaces (i.e., several per leaf); midrib adaxially plane to shallowly sulcate, abaxially prominent, often terminating in a tiny gland; secondary veins prominulous on both surfaces; tertiary veins reticulated and prominulous on both surfaces; margins very thinly revolute; stem leaves with persistence unknown, elliptic to oblanceolate or narrowly obovate, 6.3-41.7 X 2.4-10.6 cm, L/W 2.6—4.6, at apex rounded to short-acuminate, at base cuneate to truncate; secondary veins 5 to 20 pairs, with submarginal vein situated 2-5 mm from margin; leaves at branchlet apices with persistence unknown, obovate to elliptic or oblanceolate, 3.5-31.4 x 1.89.4 em, L/W 2.4—4.2, at apex rounded or obtuse to acute or acuminate with acumen to 15 mm long, at base cuneate to acute then abruptly and very shortly rounded, sometimes basally narrowly long-attenuate (i.e., pseudopetiolate); secondary veins 5 to 14 pairs, with intramarginal vein situated 3-6 mm from margin. Inflorescence lax, paniculate, lateral among leaves at apices of branchlets, without hooks, sometimes with bracteal leaves similar to adult stem leaves (e.g., Aké Assi 17146, MO; Baldwin 10984, MO; Merello et al. 1301, MO): peduncle 4.0-9.5 cm long, straight to curved; branched portion corymbiform, 5—15(—24) X 7-16 em, branched 1 to 4 times dichotomously then subsequent axes racemiform: bracts ovate to triangular, 1-2. mm long. at apex acute to obtuse, at base obtuse, marginally hyaline and often erose, abaxially with a rounded gland covering %4—% of surface; pedicels 1-4 mm long. Flowers all pedicellate; sepals 5, narrowly elliptic to elliptic-oblong, rounded and entire at apex, at base cuneate to obtuse and decurrent on ovary, green sometimes with translucent veins and/or red margins, external 2 or 3 sepals abaxially with | to 4 elliptic raised glands, adaxially apparently without pits, subequal, 2.5-4.5 1.5-3.0 mm; petals 5, convolute or rarely intermediate (e.¢..
Leeuwenberg 2709, WAG), obovate, yellowish white or white tinged pink or sometimes pale violet internally and orange externally, 5.0-11.0 < 2.0-2.5 mm: stamens 9 or 10 in apparently 2 whorls, white; filaments slender, dimorphic, the shorter 1.2—2.0 mm long, the longer 2.0-4.0 mm long; anthers 0.4— 0.7 mm long: ovary fully inferior, ca. 2 mm long: styles 3, 3.0-4.5 mm long, stigmas 0.2-0.5 * 0.5— 0.8 mm. Fruit not seen.",1
"Missouri Botanical Garden cies above. These two species (or geographical populations) also seem distinguishable by leaf characters: numerous obvious small pits are found throughout the leaves of A. barteri, versus few to frequent but hardly visible small pits restricted to the leaf undersurface and sometimes also isolated zones on the upper surface of the leaves of A. guineensis. However, with very few collections of these species available at anthesis, the occurrence of intermediate as well as convolute corolla aestivation in A, barteri makes their distinction somewhat tenuous. These two species are provisionally maintained here based on the characters noted above and their apparently allopatric geographic ranges, but their status will need re-evaluation when fruits are discovered for A. barteri.",0
"No fruiting collections can be confidently associated with Ancistrocladus barteri. Scott-Elliot (1894: 73-74) described the fruits briefly in his original description as “obpyramidale, 5-angulare, costis incrassatis, sine calycis lobis 15 mm. long.
et 15 mm. lat.” However, the specimen on which this description is based is unknown and may be among those treated here as A. abbreviatus. In his original circumscription of A. barteri, Scott-Elliot included several specimens that were subsequently excluded from A, barteri by Airy Shaw (1949), who referred most of them to his newly described species A, abbreviatus. Ancistrocladus abbreviatus does have fruits that correspond to Scott-Elliot’s description.",0
