internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
151923,Pediocactus paradinei,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,CACTACEAE,Pediocactus,paradinei,,,,,B.W.Benson,
152215,Echinocereus chisosensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,CACTACEAE,Echinocereus,chisosensis,,,,,W.T.Marshall,"Only the species-level entry <span style=""font-style: italic;"">Echinocereus chisoensis </span>appears in the 1994 and 1999 Kartesz lists for North America north of Mexico. These lists do not mention typical varieties when only the typical variety occurs within the geographical territory of the checklist, and since only <span style=""font-style: italic;"">Echinocereus chisoensis</span> var. <span style=""font-style: italic;"">chisoensis </span>is known to occur in the U.S. (confirmed by John Kartesz to Larry Morse 25 Nov 1999), only the species is listed in the synthesis. The U.S. FWS has designated threatened status under the U.S. Endangered Species Act for <span style=""font-style: italic;"">E. chisoensis</span> var. <span style=""font-style: italic;"">chisoensis </span>only. Jackie Poole mentioned an additional variety of <span style=""font-style: italic;"">E. chisoensis</span> occurring in Mexico, <span style=""font-style: italic;"">E. chisoensis</span> var. <span style=""font-style: italic;"">fobeanus</span> (pers. comm. to M. Martinez, July 1994, Poole et al. 2007, Anderson 2001).&#160; Spelling is <span style=""font-style: italic;"">Echinocereus chisosensis</span> in Flora of North America Editorial Committee (2003), and it is evident that Flora North America does not recognize varieties of <span style=""font-style: italic;"">E. chisosensis </span>as they mention the '<em>fobeanus</em>' as a species,<span style=""font-style: italic;""> Echinocereus foebeanus</span> [sic]<span style=""font-style: italic;"">.<br/><br/></span>Hunt <em>et al</em>. (2006) recognize two subspecies, the nominate and subsp. <em>fobeanus </em>(Oehme) N.P.Taylor.<span style=""font-style: italic;""><br/></span>"
152484,Sclerocactus nyensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,CACTACEAE,Sclerocactus,nyensis,,,,,Hochstätter,"Published in the journal <em>Succulenta</em>, 71e(6): 253-255, December, 1992. Accepted by Kartesz (1999). According to Jim Morefield (May 2001), ""the descriptions and circumscriptions of <em>S. blainei, S. nyensis</em>, and <em>S. schlesseri</em> are highly inconsistent within and among the recent treatments, suggesting that Heil, Porter, Hochstaetter, and/or Welsh remain confused as to the similarities and differences between these taxa."" The Nevada Natural Heritage Program will treat all three as distinct until the confusion can be sorted out."
163990,Eleocharis palustris,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Eleocharis,palustris,,,,,(L.) Roem. &amp; Schult.,"<span style=""font-style: italic;"">Eleocharis palustris </span>falls within a  taxonomically difficult group including <span style=""font-style: italic;"">E. oxylepis</span>, <span style=""font-style: italic;"">E.  mamillata</span> and <span style=""font-style: italic;"">E. uniglumis</span>  (Tutin <span style=""font-style: italic;"">et al.</span> 1980) which would benefit from further investigation.&#160;A number of sub-specific taxa have been recognised within this species and two, ssp. <em>vulgaris</em> and ssp. <em>palustris,</em><em> </em>are widely accepted.<br/><br/>The Yemen population of <span style=""font-style: italic;"">E.&#160;palustris</span> is rather isolated and most collections made [..] are of a form with a rather large lower glume which partly encircles the spikelet, thus showing some approach to the European<em> E.&#160;uniglumis</em> (Link) Schult. One collection [..] from between Yarim and Radmah is remarkable for its very large spikelets but the nuts are similar to the more common form. The Yemen plant needs careful investigation and it is likely that one or more distinct varieties can be described (Wood 1997)."
164022,Leersia hexandra,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Leersia,hexandra,,,,,Sw.,
164064,Phalaris arundinacea,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Phalaris,arundinacea,,,,,L.,"<span style=""font-style: italic;"">P. arundinacea</span> includes a variety of taxa, including ssp. <em>rotgesii</em> which is endemic to Corsica, some authors treat this taxon as a species in which case it would probably be considered to be of conservation concern."
164118,Leersia oryzoides,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Leersia,oryzoides,,,,,(L.) Sw.,<p>There are no significant taxonomic issues associated with this name.</p>
164156,Alopecurus aequalis,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Alopecurus,aequalis,,,,,Sobol.,<p>There are no significant taxonomic issues associated with this name.<em> A. aequalis</em> has been shown to hybridise with <em>A. geniculatus</em> (<em>A</em>. ×<em>haussknechtianus</em> Asch. &amp; Graebn.) which occurs fairly frequently in areas of sympatry but is not considered likely to affect the survival of the species or this evaluation.</p>  <p></p><p> &#160;</p>
164175,Ranunculus sceleratus,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,RANUNCULACEAE,Ranunculus,sceleratus,,,,,L.,<p>There are no significant taxonomic issues associated with this name.</p>
164189,Potamogeton perfoliatus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,POTAMOGETONACEAE,Potamogeton,perfoliatus,,,,,L.,"<p>The only taxonomic issue associated with this name is<em> P. juzepczukii</em>    P.I. Dorof. &amp; Tzvelev , which Wiegleb and Kaplan (1998) treat as a synonym but is accepted by the World Checklist of Selected Plant Families (The Board of Trustees of the Royal Botanic Gardens, Kew 2010).<br/></p><p><em>P. perfoliatus</em> has been shown to hybridize with the following European taxa: <em>P. alpinus</em> (<em>P.</em> × <em>prussicus </em>Hagstr.), <em>P. crispus</em> (<em>P.</em> ×<em>cooperi </em>(Fryer) Fryer), <em>P. gramineus</em> (<em>P.</em> × <em>nitens </em>Weber), <em>P. lucens</em> (<em>P.</em> ×<em>salicifolius </em>Wolfg. in Schult. &amp; Schult.), <em>P. praelongus</em> (<em>P.</em> ×<em>cognatus </em>Asch. &amp; Graebn.), <em>P. pusillus</em> (<em>P.</em> × <em>mysticus </em>Morong) and <em>P. schweinfurthii</em> (<em>P.</em> × <em>vaginans </em>(Bojer ex A. Benn.) Hagstr.).</p>"
