taxon,description
Eleocharis palustris," A  glabrous, loosely to rather densely tufted perennial 10-60(-95)  cm. Rhizomethick, far-creeping, producing single stems in the first season, then many small tufts. Stems stout or slender (1-4 mm diam), reddish at base; sheaths all lfless, to 25 cm, yellowish-brown, the upper ±          transversely truncate.  Infl an oblong to lanceolate-ovoid, terminal spikelet, 5-20(-30) mm, many fld.  Glumes ovate, brown, midrib green, margins hyaline, closely imbricate; two lowest glumes sterlie, much shorter than spikelet, not more than 1/2 encircling base of spikelet. Bristles 0-4, shorter or longer than fruit, sometimes 0. Stamens 3; anthers 1.6-2.5 mm. Stigmas 2.  Nut(1.2-)1.5-2.0 x 1.3-1.5 mm biconvex, finely punctate or nearly smooth, yellow to deep brown, swollen style base constricted at base.  ssp vulgaris Walters: Spikelets  usually with <40 flrs; glumes from middle of spikelet 3.75-4.5 mm, variable in colour but usually� dark brown           ; nut (1.3)1.5-2 mm.  ssp palustris: spikelets more densely fld, usually with >40 flrs; glumes from middle of spikelet 2.7-3.5 mm, rather pale, often light brown, usually more easily detached than in ssp vulgaris; nut 1.2-1.4(1.5) mm.  Partial fertile hybrids between ssp found in Oxon. "
Eleocharis palustris,"Common spike-rush, marsh spike-rush, éléocharide des marais  



Plants perennial, mat-forming; rhizomes evident, long, 1.5–4.5 mm thick, firm to hard (or soft), cortex persistent, longer internodes 10–35 mm, scales usually persistent, 6–20 mm, membranous, sometimes slightly fibrous.  Culms terete or slightly compressed, often with 8–30 blunt ridges when dry, 30–115 cm × 0.5–5 mm, firm to soft, internally spongy.  Leaves: distal leaf sheaths persistent or sometimes disintegrating, often splitting adaxially, red or blackish proximally, green or red distally, not inflated, not callose, membranous to papery, apex broadly obtuse to acute, tooth absent.  Spikelets ovoid to lanceoloid, 5–25 × 3–7 mm, apex acute to obtuse; proximal scale clasping 2/3 or sometimes 3/4 of culm, entire; subproximal scales 1–2, empty; floral scales often spreading in fruit, 30–100, 4–8 per mm of rachilla, brown, midrib regions mostly stramineous to green, ovate to lanceolate, 3–5 × 1.5–2.5 mm, apex entire, acute or subacute, often carinate in distal part of spikelet.  Flowers: perianth bristles 4(–5), sometimes absent, medium brown to stramineous, slender to stout, much shorter than achene to equaling tubercle, rarely to 2 times as long as achene; stamens 3; anthers dark yellow to stramineous, 1.5–2.2 mm; styles 2-fid, very rarely some 3-fid.  Achenes not persistent, stramineous or dark brown, biconvex, angles obscure, obovoid to obpyriform, 1.1–2 × 1–1.5 mm, apex rounded, neck absent or mostly short (to long), smooth at 30X, sometimes finely rugulose at 10–20X and with 20 or more ridges in vertical series.  Tubercles brown to whitish, pyramidal to mamillate, as high as wide to 2 times higher, 0.3–0.7 × 0.35–0.7 mm.  2n = 16, 17, 36.

Variant a (Eleocharis smallii in the strict sense) has culms mostly 1–3 mm wide; distal leaf sheaths sometimes disintegrating, often splitting adaxially, summits often with red margins, apices obtuse to broadly acute; floral scales 3–4 mm; achenes to 1.5(–1.6) mm; culm stomates 39–48 µm (based on very few measurements).  Reported chromosome numbers for which I have seen vouchers, all from Kansas, are 2n = 16, 17 (L. J. Harms 1968).  The range of variant a is mostly northeastern, where it is known from elevations to 1700 m in Newfoundland, west to Manitoba and south to North Carolina, Kentucky, Missouri, and Kansas, with one collection from east-central Alaska.


Variant b is similar to variant a and intergrades with it.   It has culms only 0.5–1.2 mm wide; distal leaf sheaths persistent and not splitting, summits usually with markedly red margins, markedly oblique when viewed from the side, apices acute to narrowly obtuse; and spikelets with proximal scale often clasping 3/4 of the culm.  At least some of these slender plants may simply be meadow or grassland forms produced by the direct effects of unfavorable enviromental factors such as competition.  Variant b is mostly sympatric with variant a; it is more common in the Southeast, where it is known south to Louisiana and Arkansas.  Plants from the more southern part of the range are especially striking because of their extremely oblique, brightly red-margined sheath summits and proximal floral scales usually clasping to 3/4 of the culm.


Variant c may be called Eleocharis palustris var. vigens L. H. Bailey.  The lectotype is from the shores of Lake Champlain in Vermont (S. G. Smith 2001).  It is similar to unusually robust forms of variant a, from which it differs in that its achenes are 1.6–2 mm, culm stomates 52–65 µm, and floral scales mostly 3.5–4.5 mm.  Because of its large achenes and stomates, variant c is assumed to be tetraploid with 2n = 36 (S.-O. Strandhede 1967; L. J. Harms 1968).  Variant c apparently grows mostly as an emergent in open water to about 1 m deep.  Its known range is northeastern, from Newfoundland and Labrador to Manitoba, south to New York, Michigan, Wisconsin, and Nebraska.


Variant d comprises most of the plants that cannot be placed in the preceding variants.  Most of these plants closely resemble most specimens that I have seen from northern Eurasia and as described for Eleocharis palustris subsp. palustris by S.-O. Strandhede (1966).  Variant d has distal leaf sheaths often splitting or disintegrating, the summit margins not reddish, and apices usually broadly obtuse.  In North America variant d is mostly subarctic and boreal; it is known from Newfoundland and Labrador to Alaska, south to New York, Wisconsin, Minnesota, Iowa, New Mexico, and California.  Some plants of variant d that have markedly narrow tubercles mostly much (to 2 times) higher than wide and narrow achenes only 0.9–1.1 mm wide may deserve taxonomic recognition; they are known from Manitoba west to British Columbia and Alaska, south to Colorado, Utah, and California.  Specimens of variant d from scattered western localities from Alaska and Yukon south to California have floral scales 4–5 mm and achenes 1.6–1.9 mm and are very similar to variant c."
Eleocharis palustris,"

Perennials. Rhizomes creeping. Culms a few tufted, 10-100 cm tall, 2-3 mm thick, few ribbed and longitudinally sulcate, obscurely tuberculate. Leaf sheaths 1 or 2, basally blood-red purple, tubular, 3-7 cm, mouth slightly obliquely truncate. Spikelet oblong, narrowly oblong, or ellipsoid, 0.6-2.5 cm × 3-5 mm, many flowered, apex obtuse-rounded. Basal 2 glumes empty; basalmost glume amplexicaul for 1/2 or more of spikelet base; fertile glumes with a narrow green band medially and dark blood-red on sides, ovate to ovate-lanceolate, 3-4 × 1-1.5 mm, membranous, margin broadly hyaline, apex obtuse. Perianth bristles 4-6, shorter to slightly longer than nutlet, slightly curved, spreading outward, densely retrorsely spinulose. Stigmas 2. Nutlet at first yellowish then becoming brownish, obovoid, broadly obovoid, or globose-ovoid, 1.2-1.4 × 0.8-1 mm, unequally biconvex, smooth or rarely slightly prominently reticulate; persistent style base ovoid-oblong to oblong-conic, much longer than wide, 1/2-3/5 as long and ca. 1/2 as wide as nutlet, spongy, apex obtuse to rounded. Fl. and fr. Jun-Jul. 2n = 15, 16."
Eleocharis palustris,"

Tufted perennial, to 100 cm. Rhizome horizontal, c. 2 mm diam., aerial stem arise just at or near the nodes. Stem 1.5-2.5 mm diam., green or greyish green, with 12-28 vascular bundles in cross section. Open sheaths c. 10 mm; lower closed sheaths soon disintegrating, mouth oblique; upper to 200 mm, mouth straight, margins scarious. Spike elongate ellipsoid or ovoid, acutish, with more than 50 glumes; 2 basal glumes sterile, mostly equal, 1.4-2.5 mm, central part green, margins widely scarious, apex rounded; glumes cymbiform, narrow, mid-nerve not reaching rounded or acutish apex, margins scarious. Perianth bristles of equal legth, equalling nut (incl. stylopodium), light brown; stamens 3; stigmas 2. Nut globose, ovoid or obovoid, glossy, finely or obscurely reticulate; stylopodium c. as high as wide, mitriform, sides convex, whitish or brownish, reticulate or trabeculate, distinctly constricted from nut."
Leersia hexandra,"

Perennial with well-developed stolons and slender rhizomes. Culms decumbent, rooting at lower nodes, erect shoots up to 50 cm or more tall, nodes retrorsely pubescent. Leaf sheaths shorter than internodes, smooth or scabrid; leaf blades flat or sometimes rolled, 5–12 × 0.3–0.6 cm, abaxial surface scabrid on midrib, base contracted, apex sharply acute; ligule 1–3 mm, truncate. Panicle lanceolate-oblong in outline, 5–10 cm, exserted; branches inserted singly, ascending, 4–5 cm, unbranched, slenderly terete or triquetrous, densely clothed to near base with closely overlapping spikelets. Spikelets narrowly elliptic to elliptic-oblong, 3–4 mm, pale green or purple tinged; lemma conspicuously pectinate-hispid on keel, lateral veins and sometimes surface sparsely spinulose, margins shortly hispid, apex contracted into a short obtuse beak. Stamens 6, anthers 2–2.5 mm. Fl. and fr. May–Dec. 2n = 24, 48."
Phalaris arundinacea," A stout erect reed, 60-200 cm, rhizomes far-creeping. Culms stout, erect or bent at the base, 4-6 noded, smooth. Lvs hairless green or whitish green, with cross-nerves between the nerves; sheaths smooth, rounded on the back; ligules to 16 mm, blunt becoming torn; blades 10-35 by 1-4 cm wide, flat, firm, rough in the upper part, dead leaves persistant throughout winter.  Panicle 5-25 cm, narrowly oblong, lobed, purplish, branches spreading when in flower; spikelets to 5-6.5 mm, densely crowded, oblong or gaping, flattened, 1 flowered; glumes equal, lanceolate, acuminate, keel slightly rough, 3-nerved; lemma broadly lanceolate, acute, margins fringed towards the top, sterile lemmas 1-2 mm, fertile lemma 3-4 mm, 5 nerved. Palea as long as lemma, 2-nerved. Anthers 2.5-3 mm  "
Phalaris arundinacea,"

Perennial, rhizomatous; rhizomes extensively spreading. Culms reedlike, erect, leafy, 0.6–1.5 m tall, 6–8-noded. Leaf sheaths glabrous, not inflated; leaf blades 10–35 cm × 10–18 mm, tapering to a fine apex; ligule 2–3 mm. Panicle contracted, linear-oblong in outline, lobed, interrupted, 8–15 cm; branches short, erect, densely spiculate. Spikelets oblong, laterally compressed, 4–6 mm; glumes narrowly lanceolate, glabrous or puberulous, pale green streaked darker green or purplish, keel scabrid, wingless or very narrowly winged upward, apex sharply acute; sterile lemmas equal, subulate, 1.5–1.8 mm, villous; fertile lemma broadly lanceolate, 3–4 mm, appressed-pubescent upward, shiny; palea boat-shaped, keels ciliolate. Anthers 2.5–3 mm. Fl. and fr. Jun–Aug. 2n = 28."
Phalaris arundinacea,"

Perennial from scaly creeping rhizomes. Culms 50-150 cm tall. Leaf-blades up to 20 cm long and 15 mm wide. Panicle 7-40 cm long, dense, lobed or interrupted, with short branches up to 5 cm long, these spreading at anthesis but otherwise contracted about the main axis. Glumes 3.5-7.5 mm long, acute, wingless or with a very narrow and inconspicuous wing on the keel; sterile florets 2, subulate, 1.2-2.3 mm long, villous; fertile floret lanceolate, 2.7-4.5 mm long, dull yellow to grey-brown, sparsely pubescent."
Leersia oryzoides,"An erect loosely tufted perennial, 30-120 cm with slender rhizomes. Culms erect or ascending, slender to somewhat stout, often branched, few-many noded,  nodes shortly bearded, smooth, or rought towards the upper nodes. Lvs yellowish-green to green; sheaths rounded on the back, more or less inflated, finely ribbed, the upper with short stiff reflexed hairs between the ribs; ligule 1.5 mm, truncate; blades to 8-30 cm by 5-10 mm, acuminate, flat, scabrid, abruptly contracted at the base, margins spiny.  Panicle 5-20 cm,  enclosed in the leaf sheath or partially or wholy exserted, contracted to very loose, branches spreading, slender, flexuous;  spikelets 4-5 mm, half ovate, flattened on one side and towards tip of branches;  glumes reduced to a narrow rim at the tip of the pedicels; lemma half ovate, apiculate, usually ciliate on the keel, margins thickened and ± fused with those of the palea, 5-nerved, the outer nerves marginal; palea as long as or slightly longer than the lemma, subulate, usually ciliate on the keel, 3-nerved. Anthers 0.4 -0.7 mm. "
Leersia oryzoides,"

Perennial, loosely tufted, with slender rhizomes. Culms weak, decumbent, rooting at lower nodes, upper part up to 120 cm tall, branching near base, scabrid below panicle, nodes retrorsely hispid. Leaf sheaths longer to slightly shorter than internodes, the upper retrorsely spinulose; leaf blades thin, 7–30 × 0.6–1 cm, scabrid on both surfaces, margins scabrid and spinulose, apex acuminate; ligule 1–2 mm, truncate. Panicle lax, ovate in outline, 10–20 cm; branches 1–3 per node, spreading, up to 10 cm, flexuous, very slender, scabrid, lower part long naked, upper part with branchlets bearing spikelets overlapping along one side of branchlets. Spikelets elliptic-oblong, 5–6 mm, whitish with green veins; lemma conspicuously pectinate-hispid on keel and margins, surface strigillose, sometimes sparsely, apex abruptly contracted, subacute. Stamens 3, anthers 1.5–2 mm. Fl. and fr. Jun–Sep. 2n = 48, 60."
